major,course,related
Spanish and Iberian Studies,[],"[u'Balkans Studies', u'Baltic Studies', u'Canadian Studies', u'Caribbean Studies', u'Chinese Studies', u'Commonwealth Studies', u'French Studies', u'German Studies', u'Irish Studies', u'Italian Studies', u'Japanese Studies', u'Korean Studies', u'Latin American and Caribbean Studies', u'Near and Middle Eastern Studies', u'Pacific Area/Pacific Rim Studies', u'Polish Studies', u'Regional Studies (US, Canadian, Foreign)', u'Russian Studies', u'Scandinavian Studies', u'Slavic Studies']"
Tibetan Studies,[],"[u'Balkans Studies', u'Baltic Studies', u'Canadian Studies', u'Caribbean Studies', u'Chinese Studies', u'Commonwealth Studies', u'French Studies', u'German Studies', u'Irish Studies', u'Italian Studies', u'Japanese Studies', u'Korean Studies', u'Latin American and Caribbean Studies', u'Near and Middle Eastern Studies', u'Pacific Area/Pacific Rim Studies', u'Polish Studies', u'Regional Studies (US, Canadian, Foreign)', u'Russian Studies', u'Scandinavian Studies', u'Slavic Studies']"
Ukraine Studies,[],"[u'Balkans Studies', u'Baltic Studies', u'Canadian Studies', u'Caribbean Studies', u'Chinese Studies', u'Commonwealth Studies', u'French Studies', u'German Studies', u'Irish Studies', u'Italian Studies', u'Japanese Studies', u'Korean Studies', u'Latin American and Caribbean Studies', u'Near and Middle Eastern Studies', u'Pacific Area/Pacific Rim Studies', u'Polish Studies', u'Regional Studies (US, Canadian, Foreign)', u'Russian Studies', u'Scandinavian Studies', u'Slavic Studies']"
Ural-Altaic and Central Asian Studies,[],"[u'Balkans Studies', u'Baltic Studies', u'Canadian Studies', u'Caribbean Studies', u'Chinese Studies', u'French Studies', u'German Studies', u'Irish Studies', u'Italian Studies', u'Japanese Studies', u'Korean Studies', u'Latin American and Caribbean Studies', u'Near and Middle Eastern Studies', u'Pacific Area/Pacific Rim Studies', u'Polish Studies', u'Regional Studies (US, Canadian, Foreign)', u'Russian Studies', u'Scandinavian Studies', u'Slavic Studies', u'South Asian Studies']"
Western European Studies,[],"[u'Balkans Studies', u'Baltic Studies', u'Canadian Studies', u'Caribbean Studies', u'Chinese Studies', u'Commonwealth Studies', u'French Studies', u'German Studies', u'Irish Studies', u'Italian Studies', u'Japanese Studies', u'Korean Studies', u'Latin American and Caribbean Studies', u'Near and Middle Eastern Studies', u'Pacific Area/Pacific Rim Studies', u'Polish Studies', u'Regional Studies (US, Canadian, Foreign)', u'Russian Studies', u'Scandinavian Studies', u'Slavic Studies']"
African-American/Black Studies,"[u'Anthropology', u'Foreign Language', u'Political Science']","[u'American Indian/Native American Studies', u'Asian-American Studies', u'Ethnic, Cultural Minority, Gender, and Group Studies', u'Hispanic-American, Puerto Rican, and Mexican-American/Chicano Studies']"
American Indian/Native American Studies,"[u'Anthropology', u'English', u'Ethics', u'Foreign Language', u'History', u'Law', u'Linguistics', u'Politics']","[u'African-American/Black Studies', u'Asian-American Studies', u'Ethnic, Cultural Minority, Gender, and Group Studies', u'Hispanic-American, Puerto Rican, and Mexican-American/Chicano Studies']"
Asian-American Studies,"[u'Art', u'Composition', u'History', u'Language and Culture', u'Mathematics', u'Speech', u'Statistics']","[u'African-American/Black Studies', u'American Indian/Native American Studies', u'Ethnic, Cultural Minority, Gender, and Group Studies', u'Hispanic-American, Puerto Rican, and Mexican-American/Chicano Studies']"
Deaf Studies,"[u'Ethics', u'Foreign Language', u'History', u'Law', u'Linguistics', u'Sign Language']","[u'African-American/Black Studies', u'American Indian/Native American Studies', u'Asian-American Studies', u'Disability Studies', u'Ethnic, Cultural Minority, Gender, and Group Studies', u'Folklore Studies', u'Gay/Lesbian Studies', u'Hispanic-American, Puerto Rican, and Mexican-American/Chicano Studies', u""Women's Studies""]"
Disability Studies,"[u'Education', u'Ethics', u'Health', u'Law', u'Literature', u'Nutrition', u'Philosophy']","[u'African-American/Black Studies', u'American Indian/Native American Studies', u'Asian-American Studies', u'Disability Studies', u'Ethnic, Cultural Minority, Gender, and Group Studies', u'Folklore Studies', u'Gay/Lesbian Studies', u'Hispanic-American, Puerto Rican, and Mexican-American/Chicano Studies', u""Women's Studies""]"
Folklore Studies,"[u'Acting', u'Literature', u'Performing Arts', u'Sociology']",[u'Disability Studies']
Gay/Lesbian Studies,"[u'History', u'Human Sexuality', u'LGBT Studies', u'Literature', u'Psychology', u'Sociology']","[u""Women's Studies""]"
"Hispanic-American, Puerto Rican, and Mexican-American/Chicano Studies","[u'Business Applications', u'Foreign Language', u'Linguistics', u'Literature', u'Religious Studies']","[u'African-American/Black Studies', u'American Indian/Native American Studies', u'Asian-American Studies', u'Ethnic, Cultural Minority, Gender, and Group Studies']"
Women's Studies,[],[u'Gay/Lesbian Studies']
Aviation / Flight Training (UND Aerospace) ,[],"[u'Adult Development and Aging', u'African Languages, Literatures, and Linguistics', u'Albanian Language and Literature', u'American Indian/Native American Languages, Literatures, and Linguistics', u'American Sign Language', u'American Sign Language (ASL)', u'Ancient Near Eastern and Biblical Languages, Literatures, and Linguistics', u'Ancient/Classical Greek Language and Literature', u'Apparel and Textile Manufacture', u'Apparel and Textile Marketing Management', u'Apparel and Textiles', u'Applied Linguistics', u'Arabic Language and Literature', u'Australian/Oceanic/Pacific Languages, Literatures, and Linguistics', u'Baltic Languages, Literatures, and Linguistics', u'Bengali Language and Literature', u'Bosnian, Serbian, and Croatian Languages and Literatures', u'Bulgarian Language and Literature']"
Biochemistry,"[u'Biochemistry', u'Chemistry', u'Foreign Language', u'Microbiology', u'Molecular Genetics', u'Physical Chemistry']","[u'Biochemistry and Molecular Biology', u'Biochemistry, Biophysics and Molecular Biology', u'Biological and Biomedical Sciences', u'Biophysics', u'Library and Archives Assisting', u'Molecular Biochemistry', u'Molecular Biology', u'Molecular Biophysics', u'Photobiology', u'Radiation Biology/Radiobiology', u'Structural Biology', u'Biochemistry and Molecular Biology', u'Biochemistry, Biophysics and Molecular Biology', u'Biological and Biomedical Sciences', u'Biophysics', u'Library and Archives Assisting', u'Molecular Biochemistry', u'Molecular Biology', u'Molecular Biophysics', u'Photobiology', u'Radiation Biology/Radiobiology', u'Structural Biology']"
Biochemistry and Molecular Biology,"[u'Biochemistry', u'Biology', u'Chemistry', u'Genetics', u'Mathematics', u'Microbiology', u'Organic Chemistry', u'Physics']","[u'Biochemistry', u'Biochemistry, Biophysics and Molecular Biology', u'Biological and Biomedical Sciences', u'Biophysics', u'Library and Archives Assisting', u'Molecular Biochemistry', u'Molecular Biology', u'Molecular Biophysics', u'Photobiology', u'Radiation Biology/Radiobiology', u'Structural Biology']"
Biophysics,"[u'Biology', u'Computer Science', u'Mathematics', u'Physics']","[u'Biochemistry', u'Biochemistry and Molecular Biology', u'Biochemistry, Biophysics and Molecular Biology', u'Biological and Biomedical Sciences', u'Library and Archives Assisting', u'Molecular Biochemistry', u'Molecular Biology', u'Molecular Biophysics', u'Photobiology', u'Radiation Biology/Radiobiology', u'Structural Biology']"
Molecular Biochemistry,[],"[u'Biochemistry', u'Biochemistry and Molecular Biology', u'Biochemistry, Biophysics and Molecular Biology', u'Biological and Biomedical Sciences', u'Biophysics', u'Library and Archives Assisting', u'Molecular Biology', u'Molecular Biophysics', u'Photobiology', u'Radiation Biology/Radiobiology', u'Structural Biology']"
Molecular Biology,[],"[u'Biochemistry', u'Biochemistry and Molecular Biology', u'Biochemistry, Biophysics and Molecular Biology', u'Biological and Biomedical Sciences', u'Biophysics', u'Library and Archives Assisting', u'Molecular Biochemistry', u'Molecular Biophysics', u'Photobiology', u'Radiation Biology/Radiobiology', u'Structural Biology']"
Molecular Biophysics,[],"[u'Biochemistry', u'Biochemistry and Molecular Biology', u'Biochemistry, Biophysics and Molecular Biology', u'Biological and Biomedical Sciences', u'Biophysics', u'Library and Archives Assisting', u'Molecular Biochemistry', u'Molecular Biology', u'Photobiology', u'Radiation Biology/Radiobiology', u'Structural Biology']"
Photobiology,[],"[u'Biochemistry', u'Biochemistry and Molecular Biology', u'Biochemistry, Biophysics and Molecular Biology', u'Biological and Biomedical Sciences', u'Biophysics', u'Library and Archives Assisting', u'Molecular Biochemistry', u'Molecular Biology', u'Molecular Biophysics', u'Radiation Biology/Radiobiology', u'Structural Biology']"
Radiation Biology/Radiobiology,[],"[u'Biochemistry', u'Biochemistry and Molecular Biology', u'Biochemistry, Biophysics and Molecular Biology', u'Biological and Biomedical Sciences', u'Biophysics', u'Library and Archives Assisting', u'Molecular Biochemistry', u'Molecular Biology', u'Molecular Biophysics', u'Photobiology', u'Structural Biology']"
Structural Biology,[],"[u'Biochemistry', u'Biochemistry and Molecular Biology', u'Biochemistry, Biophysics and Molecular Biology', u'Biological and Biomedical Sciences', u'Biophysics', u'Library and Archives Assisting', u'Molecular Biochemistry', u'Molecular Biology', u'Molecular Biophysics', u'Photobiology', u'Radiation Biology/Radiobiology']"
Biology/Biological Sciences,"[u'Biochemistry', u'Biology', u'Chemistry', u'Genetics', u'Mathematics', u'Microbiology', u'Organic Chemistry', u'Physics']","[u'Biochemistry', u'Biochemistry and Molecular Biology', u'Biochemistry, Biophysics and Molecular Biology', u'Biological and Biomedical Sciences', u'Biophysics', u'Library and Archives Assisting', u'Molecular Biochemistry', u'Molecular Biology', u'Molecular Biophysics', u'Photobiology', u'Radiation Biology/Radiobiology', u'Structural Biology']"
Biomedical Sciences,"[u'Biochemistry', u'Biology', u'Chemistry', u'Genetics', u'Mathematics', u'Microbiology', u'Organic Chemistry', u'Physics']","[u'Biochemistry', u'Biochemistry and Molecular Biology', u'Biochemistry, Biophysics and Molecular Biology', u'Biological and Biomedical Sciences', u'Biophysics', u'Library and Archives Assisting', u'Molecular Biochemistry', u'Molecular Biology', u'Molecular Biophysics', u'Photobiology', u'Radiation Biology/Radiobiology', u'Structural Biology']"
Bioinformatics,"[u'Computer Animation', u'Computer Science', u'Design', u'Drawing']","[u'Aerospace Physiology and Medicine', u'Animal Genetics', u'Biomathematics, Bioinformatics, and Computational Biology', u'Biometry/Biometrics', u'Biostatistics', u'Cardiovascular Science', u'Cell Physiology', u'Endocrinology', u'Environmental Toxicology', u'Exercise Physiology', u'Genome Sciences/Genomics', u'Human/Medical Genetics', u'Microbial and Eukaryotic Genetics', u'Molecular Genetics', u'Molecular Pharmacology', u'Molecular Physiology', u'Molecular Toxicology', u'Neuropharmacology', u'Oncology and Cancer Biology', u'Pathology/Experimental Pathology']"
Biometry/Biometrics,"[u'Biology', u'Design', u'Ecology', u'Mathematics', u'Statistics']","[u'Aerospace Physiology and Medicine', u'Animal Genetics', u'Bioinformatics', u'Biomathematics, Bioinformatics, and Computational Biology', u'Biostatistics', u'Cardiovascular Science', u'Cell Physiology', u'Endocrinology', u'Environmental Toxicology', u'Exercise Physiology', u'Genome Sciences/Genomics', u'Human/Medical Genetics', u'Microbial and Eukaryotic Genetics', u'Molecular Genetics', u'Molecular Pharmacology', u'Molecular Physiology', u'Molecular Toxicology', u'Neuropharmacology', u'Oncology and Cancer Biology', u'Pathology/Experimental Pathology']"
Biostatistics,"[u'Biology', u'Biophysics', u'Mathematics', u'Neurobiology', u'Physiology', u'Psychology', u'Statistics']","[u'Aerospace Physiology and Medicine', u'Animal Genetics', u'Bioinformatics', u'Biomathematics, Bioinformatics, and Computational Biology', u'Biometry/Biometrics', u'Cardiovascular Science', u'Cell Physiology', u'Endocrinology', u'Environmental Toxicology', u'Exercise Physiology', u'Genome Sciences/Genomics', u'Human/Medical Genetics', u'Microbial and Eukaryotic Genetics', u'Molecular Genetics', u'Molecular Pharmacology', u'Molecular Physiology', u'Molecular Toxicology', u'Neuropharmacology', u'Oncology and Cancer Biology', u'Pathology/Experimental Pathology']"
Computational Biology,"[u'Biology', u'Computer Science', u'Management', u'Mathematics', u'Statistics']","[u'Bioinformatics', u'Biomathematics, Bioinformatics, and Computational Biology', u'Biometry/Biometrics', u'Biostatistics']"
Biotechnology,"[u'Biochemistry', u'Ethics', u'Genetics', u'Management', u'Marketing', u'Mathematics']","[u'Ecology, Evolution, Systematics, and Population Biology']"
Botany/Plant Biology,"[u'Chemistry', u'Ecology', u'Mathematics', u'Molecular Biology', u'Plant Genetics']","[u'Plant Molecular Biology', u'Plant Pathology/Phytopathology', u'Plant Physiology']"
Plant Molecular Biology,[],"[u'Botany/Plant Biology', u'Plant Pathology/Phytopathology', u'Plant Physiology']"
Plant Pathology/Phytopathology,[],"[u'Botany/Plant Biology', u'Plant Molecular Biology', u'Plant Physiology']"
Plant Physiology,[],"[u'Botany/Plant Biology', u'Plant Molecular Biology', u'Plant Pathology/Phytopathology']"
