major,course,related
Irish Studies,"[u'Economics', u'History', u'Language ', u'Law', u'Political Science', u'Sociology']","[u'Balkans Studies', u'Baltic Studies', u'Canadian Studies', u'Caribbean Studies', u'Chinese Studies', u'Commonwealth Studies', u'French Studies', u'German Studies', u'Italian Studies', u'Japanese Studies', u'Korean Studies', u'Latin American and Caribbean Studies', u'Near and Middle Eastern Studies', u'Pacific Area/Pacific Rim Studies', u'Polish Studies', u'Regional Studies (US, Canadian, Foreign)', u'Russian Studies', u'Scandinavian Studies', u'Slavic Studies', u'South Asian Studies']"
Italian Studies,"[u'Economics', u'History', u'Language ', u'Law', u'Political Science', u'Sociology']","[u'Balkans Studies', u'Baltic Studies', u'Canadian Studies', u'Caribbean Studies', u'Chinese Studies', u'Commonwealth Studies', u'French Studies', u'German Studies', u'Irish Studies', u'Japanese Studies', u'Korean Studies', u'Latin American and Caribbean Studies', u'Near and Middle Eastern Studies', u'Pacific Area/Pacific Rim Studies', u'Polish Studies', u'Regional Studies (US, Canadian, Foreign)', u'Russian Studies', u'Scandinavian Studies', u'Slavic Studies', u'South Asian Studies']"
Japanese Studies,"[u'Economics', u'History', u'Language ', u'Law', u'Political Science', u'Sociology']","[u'Balkans Studies', u'Baltic Studies', u'Canadian Studies', u'Caribbean Studies', u'Chinese Studies', u'Commonwealth Studies', u'French Studies', u'German Studies', u'Irish Studies', u'Italian Studies', u'Korean Studies', u'Latin American and Caribbean Studies', u'Near and Middle Eastern Studies', u'Pacific Area/Pacific Rim Studies', u'Polish Studies', u'Regional Studies (US, Canadian, Foreign)', u'Russian Studies', u'Scandinavian Studies', u'Slavic Studies', u'South Asian Studies']"
Korean Studies,"[u'Economics', u'History', u'Language', u'Law', u'Political Science', u'Sociology']","[u'Balkans Studies', u'Baltic Studies', u'Canadian Studies', u'Caribbean Studies', u'Chinese Studies', u'Commonwealth Studies', u'French Studies', u'German Studies', u'Irish Studies', u'Italian Studies', u'Japanese Studies', u'Latin American and Caribbean Studies', u'Near and Middle Eastern Studies', u'Pacific Area/Pacific Rim Studies', u'Polish Studies', u'Regional Studies (US, Canadian, Foreign)', u'Russian Studies', u'Scandinavian Studies', u'Slavic Studies', u'South Asian Studies']"
Latin American and Caribbean Studies,"[u'Economics', u'History', u'Language ', u'Law', u'Political Science', u'Sociology']","[u'Balkans Studies', u'Baltic Studies', u'Canadian Studies', u'Caribbean Studies', u'Chinese Studies', u'Commonwealth Studies', u'French Studies', u'German Studies', u'Irish Studies', u'Italian Studies', u'Japanese Studies', u'Korean Studies', u'Near and Middle Eastern Studies', u'Pacific Area/Pacific Rim Studies', u'Polish Studies', u'Regional Studies (US, Canadian, Foreign)', u'Russian Studies', u'Scandinavian Studies', u'Slavic Studies', u'South Asian Studies']"
Latin American Studies,"[u'Economics', u'History', u'Language ', u'Law', u'Political Science', u'Sociology']","[u'European Studies/Civilization', u'Russian, Central European, East European and Eurasian Studies']"
Near and Middle Eastern Studies,[],"[u'Balkans Studies', u'Baltic Studies', u'Canadian Studies', u'Caribbean Studies', u'Chinese Studies', u'Commonwealth Studies', u'French Studies', u'German Studies', u'Irish Studies', u'Italian Studies', u'Japanese Studies', u'Korean Studies', u'Latin American and Caribbean Studies', u'Pacific Area/Pacific Rim Studies', u'Polish Studies', u'Regional Studies (US, Canadian, Foreign)', u'Russian Studies', u'Scandinavian Studies', u'Slavic Studies', u'South Asian Studies']"
Pacific Area/Pacific Rim Studies,[],"[u'Balkans Studies', u'Baltic Studies', u'Canadian Studies', u'Caribbean Studies', u'Chinese Studies', u'Commonwealth Studies', u'French Studies', u'German Studies', u'Irish Studies', u'Italian Studies', u'Japanese Studies', u'Korean Studies', u'Latin American and Caribbean Studies', u'Near and Middle Eastern Studies', u'Polish Studies', u'Regional Studies (US, Canadian, Foreign)', u'Russian Studies', u'Scandinavian Studies', u'Slavic Studies', u'South Asian Studies']"
Polish Studies,[],"[u'Balkans Studies', u'Baltic Studies', u'Canadian Studies', u'Caribbean Studies', u'Chinese Studies', u'Commonwealth Studies', u'French Studies', u'German Studies', u'Irish Studies', u'Italian Studies', u'Japanese Studies', u'Korean Studies', u'Latin American and Caribbean Studies', u'Near and Middle Eastern Studies', u'Pacific Area/Pacific Rim Studies', u'Regional Studies (US, Canadian, Foreign)', u'Russian Studies', u'Scandinavian Studies', u'Slavic Studies', u'South Asian Studies']"
"Regional Studies (US, Canadian, Foreign)",[],"[u'Balkans Studies', u'Baltic Studies', u'Canadian Studies', u'Caribbean Studies', u'Chinese Studies', u'Commonwealth Studies', u'French Studies', u'German Studies', u'Irish Studies', u'Italian Studies', u'Japanese Studies', u'Korean Studies', u'Latin American and Caribbean Studies', u'Near and Middle Eastern Studies', u'Pacific Area/Pacific Rim Studies', u'Polish Studies', u'Russian Studies', u'Scandinavian Studies', u'Slavic Studies', u'South Asian Studies']"
Russian Studies,[],"[u'Balkans Studies', u'Baltic Studies', u'Canadian Studies', u'Caribbean Studies', u'Chinese Studies', u'Commonwealth Studies', u'French Studies', u'German Studies', u'Irish Studies', u'Italian Studies', u'Japanese Studies', u'Korean Studies', u'Latin American and Caribbean Studies', u'Near and Middle Eastern Studies', u'Pacific Area/Pacific Rim Studies', u'Polish Studies', u'Regional Studies (US, Canadian, Foreign)', u'Russian Studies', u'Slavic Studies', u'South Asian Studies']"
"Russian, Central European, East European and Eurasian Studies",[],"[u'European Studies/Civilization', u'Latin American Studies']"
Scandinavian Studies,[],"[u'Balkans Studies', u'Baltic Studies', u'Canadian Studies', u'Caribbean Studies', u'Chinese Studies', u'Commonwealth Studies', u'French Studies', u'German Studies', u'Irish Studies', u'Italian Studies', u'Japanese Studies', u'Korean Studies', u'Latin American and Caribbean Studies', u'Near and Middle Eastern Studies', u'Pacific Area/Pacific Rim Studies', u'Polish Studies', u'Regional Studies (US, Canadian, Foreign)', u'Russian Studies', u'Slavic Studies', u'South Asian Studies']"
Slavic Studies,[],"[u'Balkans Studies', u'Baltic Studies', u'Canadian Studies', u'Caribbean Studies', u'Chinese Studies', u'Commonwealth Studies', u'French Studies', u'German Studies', u'Irish Studies', u'Italian Studies', u'Japanese Studies', u'Korean Studies', u'Latin American and Caribbean Studies', u'Near and Middle Eastern Studies', u'Pacific Area/Pacific Rim Studies', u'Polish Studies', u'Regional Studies (US, Canadian, Foreign)', u'Russian Studies', u'Scandinavian Studies', u'South Asian Studies']"
South Asian Studies,[],"[u'Balkans Studies', u'Baltic Studies', u'Canadian Studies', u'Caribbean Studies', u'Chinese Studies', u'Commonwealth Studies', u'French Studies', u'German Studies', u'Irish Studies', u'Italian Studies', u'Japanese Studies', u'Korean Studies', u'Latin American and Caribbean Studies', u'Near and Middle Eastern Studies', u'Pacific Area/Pacific Rim Studies', u'Polish Studies', u'Regional Studies (US, Canadian, Foreign)', u'Russian Studies', u'Scandinavian Studies', u'Slavic Studies']"
Southeast Asian Studies,[],"[u'Balkans Studies', u'Baltic Studies', u'Canadian Studies', u'Caribbean Studies', u'Chinese Studies', u'Commonwealth Studies', u'French Studies', u'German Studies', u'Irish Studies', u'Italian Studies', u'Japanese Studies', u'Korean Studies', u'Latin American and Caribbean Studies', u'Near and Middle Eastern Studies', u'Pacific Area/Pacific Rim Studies', u'Polish Studies', u'Regional Studies (US, Canadian, Foreign)', u'Russian Studies', u'Scandinavian Studies', u'Slavic Studies']"
